Subject,1.pol,1.cas,2.pol,2.cas,3.pol,3.cas,4.pol,4.cas,5.pol,5.cas,6.pol,6.cas,7.pol,7.cas,8.pol,8.cas,9.pol,9.cas,10.pol,10.cas
Subject 1,57,47,58,49,63,51,79,71,65,61,65,52,61,55,74,67,66,63,52,44
Subject 2,57,45,58,48,62,49,80,69,65,60,65,51,61,56,75,66,70,63,52,43
Subject 3,57,43,58,47,63,49,80,68,65,59,65,50,61,54,75,65,67,62,52,42
Subject 4,57,43,58,47,65,51,80,68,65,59,65,50,61,55,74,65,66,61,52,42
Subject 5,57,43,58,49,63,51,80,70,65,61,65,52,61,57,74,67,67,64,52,44
Subject 6,57,45,58,50,63,50,80,69,65,60,65,51,61,56,74,66,67,63,52,43
Subject 7,57,47,58,49,63,51,80,70,65,61,65,52,61,57,74,67,67,64,52,44
Subject 8,57,45,58,48,63,50,80,69,65,60,65,51,61,56,74,66,67,63,52,43
Subject 9,57,45,58,48,63,50,79,70,65,60,65,51,61,56,74,66,66,62,52,43
Subject 10,57,45,58,48,63,52,79,71,65,60,65,51,61,56,74,66,66,62,52,44
Subject 11,57,43,58,47,63,49,80,68,65,59,65,50,61,55,74,67,67,62,52,42
Subject 12,57,45,58,48,63,50,79,70,65,60,65,51,61,56,74,66,66,62,52,43
Subject 13,57,42,58,48,63,50,80,69,65,60,65,51,61,56,74,66,67,63,52,43
Subject 14,57,43,58,47,63,49,80,68,65,59,65,50,61,55,74,65,67,62,52,42
Subject 15,57,45,58,48,63,50,80,68,65,60,65,51,61,56,74,66,67,63,52,43
Subject 16,57,47,58,49,63,51,79,71,65,61,65,52,61,59,74,67,66,63,52,44
Subject 17,65,43,58,47,63,49,87,68,65,59,65,50,69,57,80,65,67,62,52,42
Subject 18,57,43,58,49,63,51,80,70,65,51,65,52,61,57,74,67,67,62,52,44
Subject 19,57,43,58,47,63,49,80,68,65,59,65,50,63,55,74,65,67,67,52,42
Subject 20,57,45,58,48,63,50,80,69,65,60,65,51,61,56,74,66,67,63,52,43