Subject,1_Cas,1_Pol,2_Cas,2_Pol,3_Cas,3_Pol,4_Cas,4_Pol,5_Cas,5_Pol,6_Cas,6_Pol
Subject 2,NA,118,24,52,13,19,14,20,131,74,16,44
Subject 3,89,152,46,63,13,38,22,45,58,106,15,53
Subject 4,77,197,59,133,22,28,33,68,64,214,46,113
Subject 5,42,67,34,56,21,32,41,55,72,104,27,31
Subject 6,67,245,31,68,20,41,41,52,75,140,60,195
Subject 7,68,152,41,62,14,25,31,66,71,88,91,110
Subject 8,54,122,28,67,11,18,24,30,57,105,32,41
Subject 9,123,1059,36,124,13,31,18,42,56,184,94,111
Subject 10,91,195,62,101,23,46,46,57,127,203,128,103
Subject 11,126,245,109,153,38,59,39,49,67,200,56,151
Subject 12,74,176,31,125,10,36,22,39,97,133,38,132
Subject 13,54,96,23,36,15,14,18,43,56,102,16,49
Subject 14,56,219,58,83,24,52,29,65,105,119,27,43
Subject 15,33,82,14,41,11,31,30,45,38,109,9,31
Subject 16,67,258,21,84,19,23,29,49,32,120,23,63
Subject 17,60,296,27,54,17,16,18,31,37,115,NA,NA
Subject 18,46,127,27,50,13,20,22,45,41,69,14,27
Subject 19,19,29,10,37,8,14,11,14,33,54,14,40
Subject 20,57,89,18,70,17,37,28,76,46,213,15,60