language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz ,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr,note
Japanese,M,perceptionstim,stim_jpn,9,9,pol,polite,1.402,121.3,121.6,17.8,101.7,159,57.3,82.9,83.11,2.45,0.29,8.02,7.73,68.8,61.2,36,0.02332,0.00709,0.01312,0.0011,0.14633,0.10462,0.05365,-0.86,-14.8,-16.6,8.7,0.2804,0.02332,0.00709,0.14633,0.05365,
Japanese,M,perceptionstim,stim_jpn,9,9,cas,casual,1.478,121.1,116.4,14.8,97.3,157.1,59.8,82.92,82.35,2.06,-0.47,7.82,8.29,68.9,62.1,39.2,0.02774,0.00754,0.01386,0.001,0.13176,0.12428,0.04541,2.33,-14.8,-16.8,9.8,0.2638,0.02774,0.00754,0.13176,0.04541,
Japanese,M,perceptionstim,stim_jpn,9,8,pol,polite,1.791,136.5,142.8,17.8,98,158,60,84.95,85.89,2.44,-0.33,7.92,8.25,73.1,67.8,35.2,0.01797,0.00526,0.00752,0.0013,0.11411,0.16967,0.03532,-3.52,-11.3,-23.8,11,0.1999,0.01797,0.00526,0.11411,0.03532,
Japanese,M,perceptionstim,stim_jpn,9,8,cas,casual,1.602,129.4,130.1,11.7,103.3,151.8,48.5,84.11,84.28,1.61,0.56,7.23,6.67,71.1,66.3,33.8,0.01974,0.00583,0.01017,0.0023,0.16081,0.43225,0.0511,5.66,-12.3,-24.8,9.9,0.2287,0.01974,0.00583,0.16081,0.0511,
Japanese,M,perceptionstim,stim_jpn,9,7,pol,polite,1.3,127.7,116.9,18.6,108.7,175.9,67.2,83.78,82.42,2.37,1.45,9.77,8.33,70.9,66.6,32.7,0.01726,0.0052,0.00815,0.002,0.13094,0.11943,0.02527,6.06,-13.8,-18.8,10.4,0.1832,0.01726,0.0052,0.13094,0.02527,
Japanese,M,perceptionstim,stim_jpn,9,7,cas,casual,1.247,123.5,116,13.9,110.2,157.2,47,83.28,82.3,1.85,1.67,7.82,6.15,70.6,66.3,37,0.01386,0.00352,0.0058,0.0011,0.1214,0.11331,0.04076,-2.83,-12.2,-16.2,10.4,0.1707,0.01386,0.00352,0.1214,0.04076,
Japanese,M,perceptionstim,stim_jpn,9,6,pol,polite,1.219,124.8,120,16,97.5,158.9,61.4,83.42,82.89,2.17,-0.44,7.93,8.37,71.5,69.8,30.3,0.02582,0.00974,0.01366,0.0022,0.1166,0.09612,0.04214,-5.94,-13,-18.8,10.1,0.2211,0.02582,0.00974,0.1166,0.04214,
Japanese,M,perceptionstim,stim_jpn,9,6,cas,casual,1.235,118.3,116.2,13,97.8,145.7,47.9,82.53,82.32,1.86,-0.39,6.51,6.9,69.6,68.6,33.9,0.01642,0.00534,0.00863,0.0017,0.12937,0.19106,0.04275,-2.07,-14.1,-21,11.1,0.1407,0.01642,0.00534,0.12937,0.04275,
Japanese,M,perceptionstim,stim_jpn,9,5,pol,polite,1.801,135.6,137.8,17.1,103.7,165,61.3,84.85,85.28,2.26,0.63,8.67,8.04,71.6,68.1,35.1,0.01793,0.00582,0.00912,0.0024,0.13083,0.25701,0.04596,2.6,-10.8,-18.7,10.3,0.2245,0.01793,0.00582,0.13083,0.04596,
Japanese,M,perceptionstim,stim_jpn,9,5,cas,casual,1.736,130.5,130.2,15.2,108,159,51,84.23,84.3,1.99,1.34,8.03,6.69,72.1,69.3,32.1,0.01505,0.00419,0.00696,0.0026,0.13847,0.11666,0.04519,-7.51,-11.1,-20.1,10.1,0.2071,0.01505,0.00419,0.13847,0.04519,
Japanese,M,perceptionstim,stim_jpn,9,4,pol,polite,2.035,136.1,140.5,14.9,107.1,157.3,50.2,84.95,85.62,1.98,1.2,7.84,6.64,72.4,65.4,36.7,0.01395,0.00323,0.00499,0.0011,0.1033,0.16769,0.03691,-3.17,-10,-22.7,9.6,0.1975,0.01395,0.00323,0.1033,0.03691,
Japanese,M,perceptionstim,stim_jpn,9,4,cas,casual,2.048,136.6,140.3,14.8,106.1,156.6,50.5,85.01,85.59,1.96,1.03,7.77,6.74,72.9,66.6,35.8,0.02054,0.00529,0.00788,0.0023,0.09492,0.12426,0.04292,0.62,-9.6,-22.9,9,0.2404,0.02054,0.00529,0.09492,0.04292,
Japanese,M,perceptionstim,stim_jpn,9,3,pol,polite,1.615,134.6,134.8,22,94,175.5,81.5,84.62,84.9,2.95,-1.08,9.73,10.8,74.5,70,35.4,0.01663,0.00494,0.00839,0.0012,0.10966,0.14698,0.042,-2.75,-11.7,-19.3,9.4,0.2115,0.01663,0.00494,0.10966,0.042,
Japanese,M,perceptionstim,stim_jpn,9,3,cas,casual,1.7,126.3,126.6,13.7,99.2,150.2,51,83.66,83.81,1.92,-0.15,7.04,7.18,72.7,68.1,38.8,0.01544,0.00505,0.00791,0.0018,0.12667,0.12159,0.05401,2.56,-12.3,-20.5,8.9,0.2356,0.01544,0.00505,0.12667,0.05401,
Japanese,M,perceptionstim,stim_jpn,9,2,pol,polite,1.363,151.4,159.5,20,103.2,172.8,69.6,86.72,87.81,2.61,0.54,9.46,8.91,72.2,69.2,43.8,0.01027,0.0031,0.00506,0.0017,0.11629,0.12337,0.03477,3.99,-12.8,-15.3,12.7,0.1693,0.01027,0.0031,0.11629,0.03477,
Japanese,M,perceptionstim,stim_jpn,9,2,cas,casual,1.479,149.7,149.8,4.9,137.3,160.4,23.1,86.7,86.73,0.57,5.49,8.18,2.69,72.8,67.2,40.8,0.01077,0.0037,0.00549,0.0014,0.09748,0.13566,0.02846,6.93,-12.3,-16,12.6,0.1497,0.01077,0.0037,0.09748,0.02846,
Japanese,M,perceptionstim,stim_jpn,9,1,pol,polite,1.422,121.3,111.5,19.5,97.1,175.6,78.5,82.87,81.62,2.63,-0.5,9.75,10.25,73.2,68.8,34.1,0.01473,0.00397,0.00449,0.0014,0.11621,0.17289,0.04079,-5.99,-9.2,-18.1,9.8,0.1822,0.01473,0.00397,0.11621,0.04079,
Japanese,M,perceptionstim,stim_jpn,9,1,cas,casual,1.462,123.8,122.2,15.1,92.3,155.5,63.1,83.3,83.19,2.12,-1.37,7.64,9.01,72.1,68.8,29.1,0.01205,0.00373,0.00586,0.002,0.10953,0.10829,0.04128,1.86,-8.6,-17.3,9.7,0.1937,0.01205,0.00373,0.10953,0.04128,
Japanese,M,perceptionstim,stim_jpn,9,10,pol,polite,1.351,137,138.3,15.3,105,165.5,60.5,85.06,85.33,1.99,0.84,8.72,7.88,73.8,70.6,35.1,0.01982,0.00534,0.00792,0.001,0.15917,0.17373,0.04761,-2.1,-14,-24.1,9.5,0.2001,0.01982,0.00534,0.15917,0.04761,
Japanese,M,perceptionstim,stim_jpn,9,10,cas,casual,1.425,139.7,145.8,15.8,104.8,163.3,58.6,85.4,86.25,2.04,0.82,8.49,7.67,76,73.1,31.2,0.02408,0.0071,0.00879,0.002,0.13283,0.1555,0.03834,-2.26,-11.5,-23.1,9.6,0.2229,0.02408,0.0071,0.13283,0.03834,
Japanese,M,perceptionstim,stim_jpn,1,9,pol,polite,1.441,109.5,104.4,18.5,91.1,166.2,75.1,81.09,80.47,2.61,-1.56,8.8,10.35,65.9,60.9,32.8,0.02383,0.00571,0.00848,0.0015,0.16079,0.30782,0.05137,-1.09,-16.2,-15.7,9.3,0.1767,0.02383,0.00571,0.16079,0.05137,
Japanese,M,perceptionstim,stim_jpn,1,9,cas,casual,1.312,110.5,109.6,15,90.7,144.6,54,81.3,81.31,2.29,-1.7,6.38,8.08,64.6,58.1,30.4,0.02527,0.00757,0.00883,0.0013,0.11391,0.08798,0.02741,-1.51,-17.5,-17.4,11.5,0.1513,0.02527,0.00757,0.11391,0.02741,
Japanese,M,perceptionstim,stim_jpn,1,8,pol,polite,1.775,134.2,146.6,25.2,86,166.6,80.6,84.48,86.35,3.55,-2.62,8.83,11.45,67.9,64.5,28.2,0.02087,0.00624,0.01079,0.0015,0.11115,0.16666,0.03438,6.44,-14.9,-19.8,12.3,0.1524,0.02087,0.00624,0.11115,0.03438,
Japanese,M,perceptionstim,stim_jpn,1,8,cas,casual,1.774,128.6,131.4,29.7,77.7,177.3,99.6,83.59,84.46,4.19,-4.3,9.92,14.22,68.2,64.6,30.8,0.02116,0.00566,0.01099,0.0018,0.11772,0.1239,0.03385,1.81,-14.5,-19.9,11.6,0.1473,0.02116,0.00566,0.11772,0.03385,
Japanese,M,perceptionstim,stim_jpn,1,7,pol,polite,1.294,113.2,113,15.6,83.9,156.1,72.2,81.7,81.85,2.39,-3.04,7.71,10.74,67.7,65.5,28.6,0.01837,0.00415,0.00582,0.0014,0.11006,0.08938,0.03324,1.42,-13.3,-15.3,11.3,0.1421,0.01837,0.00415,0.11006,0.03324,
Japanese,M,perceptionstim,stim_jpn,1,7,cas,casual,1.352,119.2,119.2,19.6,84.5,167,82.5,82.53,82.77,2.86,-2.93,8.88,11.8,67.5,65,28.8,0.0199,0.00495,0.00849,0.0015,0.13408,0.15034,0.04587,0.45,-13.9,-14.1,10.9,0.1744,0.0199,0.00495,0.13408,0.04587,
Japanese,M,perceptionstim,stim_jpn,1,6,pol,polite,1.322,131.9,135.4,27.5,83.9,179.6,95.6,84.12,84.97,3.79,-3.03,10.13,13.16,68.8,66.9,24.6,0.01488,0.00363,0.00617,0.0017,0.13226,0.24263,0.03821,1.93,-14.3,-16.8,12,0.1267,0.01488,0.00363,0.13226,0.03821,
Japanese,M,perceptionstim,stim_jpn,1,6,cas,casual,1.301,128.7,130.8,23,84.9,168.4,83.5,83.8,84.37,3.26,-2.81,9.02,11.84,69.1,67.2,26.7,0.0161,0.00451,0.0067,0.0015,0.10723,0.17419,0.03301,-1.11,-12.3,-13.2,11.6,0.1298,0.0161,0.00451,0.10723,0.03301,
Japanese,M,perceptionstim,stim_jpn,1,5,pol,polite,1.75,122.5,121.6,24.7,81.3,173.5,92.1,82.89,83.12,3.48,-3.57,9.53,13.1,68.6,65,25.7,0.01829,0.00487,0.00877,0.0015,0.15946,0.08145,0.05455,2.52,-12.8,-16.1,10.4,0.2021,0.01829,0.00487,0.15946,0.05455,
Japanese,M,perceptionstim,stim_jpn,1,5,cas,casual,1.709,126.3,127,23.9,86.8,171,84.3,83.47,83.86,3.27,-2.46,9.29,11.75,68.2,65.8,27.8,0.01673,0.00403,0.00751,0.0015,0.10463,0.12951,0.03197,4.08,-14.5,-17.8,11.3,0.1638,0.01673,0.00403,0.10463,0.03197,
Japanese,M,perceptionstim,stim_jpn,1,4,pol,polite,2.007,124.9,116.5,35.3,81,204.5,123.5,82.92,82.37,4.72,-3.64,12.39,16.03,67.9,64.2,33.9,0.02479,0.00866,0.01435,0.0021,0.1079,0.18273,0.03596,1.84,-15.9,-18.6,10.4,0.1803,0.02479,0.00866,0.1079,0.03596,
Japanese,M,perceptionstim,stim_jpn,1,4,cas,casual,2.097,111.5,100.1,24.8,83.1,173.5,90.3,81.22,79.74,3.58,-3.19,9.54,12.73,65.7,61.7,29.1,0.0178,0.00716,0.01055,0.0019,0.10913,0.16038,0.03948,-1.56,-14.1,-18.3,10.4,0.19,0.0178,0.00716,0.10913,0.03948,
Japanese,M,perceptionstim,stim_jpn,1,3,pol,polite,1.871,124.5,120.6,29.3,82.9,165.6,82.7,83.02,82.96,4.2,-3.25,8.73,11.98,69.4,63.7,35.5,0.01687,0.00389,0.00756,0.0025,0.11554,0.1973,0.0344,-1.31,-15.9,-18.2,11.4,0.1766,0.01687,0.00389,0.11554,0.0344,
Japanese,M,perceptionstim,stim_jpn,1,3,cas,casual,1.668,120.1,115.2,24.7,80.1,169.3,89.1,82.53,82.17,3.63,-3.84,9.11,12.95,68.5,64.6,26.9,0.02171,0.0078,0.01177,0.0018,0.14063,0.1893,0.04503,2.92,-15.9,-17.7,10.6,0.2083,0.02171,0.0078,0.14063,0.04503,
Japanese,M,perceptionstim,stim_jpn,1,2,pol,polite,1.369,143.4,150.2,20.1,85.6,158.2,72.6,85.74,86.77,2.97,-2.68,7.94,10.62,65.5,60.8,33.1,0.01312,0.00471,0.00496,0.0018,0.11589,0.15642,0.04073,0.02,-18.9,-14.1,13.3,0.1489,0.01312,0.00471,0.11589,0.04073,
Japanese,M,perceptionstim,stim_jpn,1,2,cas,casual,1.368,137.9,149.6,23.7,85.1,155.4,70.3,84.98,86.7,3.51,-2.79,7.63,10.43,64.9,63.1,34.6,0.01173,0.00369,0.00492,0.0015,0.09221,0.09042,0.02667,-4.83,-13.8,-9.2,12.4,0.1178,0.01173,0.00369,0.09221,0.02667,
Japanese,M,perceptionstim,stim_jpn,1,1,pol,polite,1.504,123.5,123.7,27.4,81.6,189.4,107.7,82.95,83.41,3.86,-3.45,11.05,14.5,68.1,66.5,22.1,0.0128,0.00308,0.00468,0.0019,0.07933,0.07463,0.02152,2.85,-13.4,-16.6,12.3,0.1169,0.0128,0.00308,0.07933,0.02152,
Japanese,M,perceptionstim,stim_jpn,1,1,cas,casual,1.405,123.3,119.3,28,87.8,186.7,98.9,82.94,82.78,3.76,-2.25,10.8,13.05,67.9,64.7,24,0.01666,0.00452,0.00578,0.0018,0.09897,0.12117,0.0352,2.76,-12.9,-15.3,11.5,0.1817,0.01666,0.00452,0.09897,0.0352,
Japanese,M,perceptionstim,stim_jpn,1,10,pol,polite,1.461,131.2,132.8,17.7,87.6,176.1,88.5,84.27,84.64,2.43,-2.29,9.79,12.08,66.9,64.5,29,0.01853,0.0056,0.00827,0.0013,0.1192,0.13992,0.03001,3.49,-16,-18.1,12.3,0.1301,0.01853,0.0056,0.1192,0.03001,
Japanese,M,perceptionstim,stim_jpn,1,10,cas,casual,1.606,114.8,113.7,10.9,94.9,140.1,45.2,82.04,81.95,1.62,-0.9,5.83,6.74,65.4,63.9,26.7,0.01774,0.00486,0.00809,0.001,0.13644,0.18796,0.06026,1.16,-17.5,-18.3,11.2,0.1571,0.01774,0.00486,0.13644,0.06026,
Japanese,M,perceptionstim,stim_jpn,12,9,pol,polite,1.499,120.8,117.5,18.1,94.1,166.6,72.5,82.82,82.51,2.46,-0.99,8.83,9.83,68.1,62.3,34.7,0.02619,0.01001,0.01604,0.0027,0.1376,0.16353,0.04685,-2.32,-21.9,-27,10.8,0.1997,0.02619,0.01001,0.1376,0.04685,
Japanese,M,perceptionstim,stim_jpn,12,9,cas,casual,1.594,117.7,113,16.7,93.6,158.6,65,82.39,81.85,2.37,-1.13,7.99,9.12,67.7,62.3,33.1,0.02011,0.00582,0.01035,0.0025,0.16769,0.0953,0.06007,2.93,-21.2,-28.7,10.6,0.1907,0.02011,0.00582,0.16769,0.06007,
Japanese,M,perceptionstim,stim_jpn,12,8,pol,polite,1.812,126.7,129.6,11.7,97,157,60,83.75,84.22,1.67,-0.5,7.81,8.31,70.2,64.5,32.8,0.01911,0.00622,0.00845,0.003,0.16278,0.29024,0.04928,5.83,-19.5,-31.8,10.2,0.2474,0.01911,0.00622,0.16278,0.04928,
Japanese,M,perceptionstim,stim_jpn,12,8,cas,casual,1.908,131.3,137,13.8,102.1,148.8,46.7,84.34,85.17,1.92,0.39,6.88,6.49,70.6,64.2,34.4,0.01805,0.00582,0.00673,0.0024,0.15969,0.28395,0.05125,6.5,-20.3,-31.2,11.7,0.2174,0.01805,0.00582,0.15969,0.05125,
Japanese,M,perceptionstim,stim_jpn,12,7,pol,polite,1.301,121.3,119.9,13.9,87.7,152.1,64.4,82.95,82.87,2,-2.28,7.26,9.54,71.1,67.7,31.9,0.01337,0.00335,0.00576,0.0026,0.1296,0.19169,0.03822,-0.87,-22.8,-29.6,11.6,0.1473,0.01337,0.00335,0.1296,0.03822,
Japanese,M,perceptionstim,stim_jpn,12,7,cas,casual,1.396,125.6,118.7,18.9,106.8,178.5,71.7,83.5,82.69,2.35,1.14,10.03,8.89,71.2,67.6,34.5,0.02122,0.00743,0.00963,0.0013,0.14679,0.17457,0.06123,3.05,-19.5,-28.6,10.1,0.2208,0.02122,0.00743,0.14679,0.06123,
Japanese,M,perceptionstim,stim_jpn,12,6,pol,polite,1.286,127.3,122.7,16,104.6,157,52.3,83.78,83.27,2.11,0.78,7.8,7.02,72.7,70.8,33.5,0.01702,0.00501,0.0077,0.0027,0.1193,0.11662,0.04606,3.77,-15.8,-31.9,11.3,0.2192,0.01702,0.00501,0.1193,0.04606,
Japanese,M,perceptionstim,stim_jpn,12,6,cas,casual,1.148,127.3,125.8,20.8,92.3,160.6,68.3,83.67,83.69,2.87,-1.38,8.19,9.57,73.8,73.2,32.6,0.03086,0.01012,0.0152,0.0018,0.14746,0.17571,0.05049,1.64,-16.6,-33.7,8.8,0.3174,0.03126,0.01025,0.14746,0.05049,
Japanese,M,perceptionstim,stim_jpn,12,5,pol,polite,1.755,125.2,120.2,14.4,109.8,161.6,51.9,83.52,82.92,1.85,1.61,8.31,6.7,73.1,68.4,31.7,0.01912,0.00552,0.00941,0.0029,0.14785,0.06508,0.05068,2.64,-17.4,-30.8,10,0.2815,0.01912,0.00552,0.14785,0.05068,
Japanese,M,perceptionstim,stim_jpn,12,5,cas,casual,1.678,127.5,121.3,16.3,100.5,158.1,57.6,83.79,83.06,2.15,0.08,7.92,7.84,72.3,68.5,29.1,0.01948,0.00777,0.00887,0.0023,0.11617,0.177,0.03993,3.51,-16.6,-34.4,11.7,0.1843,0.01948,0.00777,0.11617,0.03993,
Japanese,M,perceptionstim,stim_jpn,12,4,pol,polite,1.891,137.7,141.7,20.1,93.7,166.4,72.7,85.05,85.76,2.8,-1.13,8.81,9.94,71.4,67,30.6,0.02856,0.01117,0.01928,0.003,0.15804,0.23297,0.05376,7.41,-20.1,-31.5,9.5,0.3104,0.02856,0.01117,0.15804,0.05376,
Japanese,M,perceptionstim,stim_jpn,12,4,cas,casual,2.179,132.8,137.8,21.7,96.7,169.5,72.8,84.4,85.28,2.91,-0.58,9.13,9.71,72.5,67.6,31.5,0.01835,0.00514,0.00904,0.0027,0.13668,0.12724,0.04567,0.67,-17.6,-32.1,10.5,0.2396,0.01835,0.00514,0.13668,0.04567,
